Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035555	PC6L	larvae69_Guadeloupe	2017-07-15	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035556	PC3L	larvae68_Guadeloupe	2017-07-15	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035557	PB9L	larvae67_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035558	PB8L	larvae66_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035559	PB7L	larvae65_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035560	PB6L	larvae64_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035561	PB5L	larvae63_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035562	PB4L	larvae62_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035563	CPTR3E	water 23_plants container	2017-06-08	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035564	PB3L	larvae61_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035565	PB2L	larvae60_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035566	PB1L	larvae59_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035567	PB10L	larvae58_Guadeloupe	2017-05-22	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035568	PAP5L	larvae57_Guadeloupe	2017-05-26	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035569	PAP4L	larvae56_Guadeloupe	2017-05-26	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035570	PAP3L	larvae55_Guadeloupe	2017-05-26	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035571	PAP2L	larvae54_Guadeloupe	2017-05-26	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035572	PAP1L	larvae53_Guadeloupe	2017-05-26	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035573	MOULE9L	larvae52_Guadeloupe	2017-05-29	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035574	CPTR2E	water 22_bucket	2017-06-08	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035575	MOULE8L	larvae51_Guadeloupe	2017-05-29	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035576	MOULE7L	larvae50_Guadeloupe	2017-05-29	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035577	MOULE6L	larvae49_Guadeloupe	2017-05-29	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035578	MOULE3L	larvae48_Guadeloupe	2017-05-29	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035579	MOULE1L	larvae47_Guadeloupe	2017-05-29	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035580	MOULE16062L	larvae46_Guadeloupe	2017-06-16	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035581	MOULE16061L	larvae45_Guadeloupe	2017-06-16	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035582	MOULE07069L	larvae44_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035583	MOULE07068L	larvae43_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035584	MOULE07067L	larvae42_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035585	CPTR1E	water 21_drum	2017-06-08	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035586	ABY2E	water 3_tire	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035587	MOULE07066L	larvae41_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035588	MOULE07065L	larvae40_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035589	MOULE07064L	larvae39_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035590	MOULE07063L	larvae38_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035591	MOULE07062L	larvae37_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
