Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035393	STC9E	water 100_bucket	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035394	STC8E	water 99_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035395	STC7E	water 98_gutter manhole	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035396	STC6E	water 97_tire	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035397	STC5E	water 96_tire	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035398	STC4E	water 95_tire	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035399	STC3E	water 94_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035400	STC2E	water 93_citern	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035401	STC1E	water 92_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035402	STC10E	water 91_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035403	ABY9E	water 10_drum	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035404	SF9E	water 90_drum	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035405	SF8E	water 89_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035406	SF7E	water 88_plants container	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035407	SF6E	water 87_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035408	SF5E	water 86_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035409	SF4E	water 85_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035410	SF3E	water 84_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035411	SF2E	water 83_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035412	SF1E	water 82_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035413	SF10E	water 81_drum	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035414	ABY8E	water 9_bucket	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035415	PC6E	water 80_drum	2017-07-15	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035416	PC5E	water 79_drum	2017-07-15	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035417	PC4E	water 78_drum	2017-07-15	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035418	PC3E	water 77_bucket	2017-07-15	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035419	PB9E	water 76_drum	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035420	PB8E	water 75_drum	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035421	PB7E	water 74_drum	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035422	PB6E	water 73_tire	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035423	PB5E	water 72_tire	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035424	PB4E	water 71_tire	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035425	ABY7E	water 8_bucket	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035426	PB3E	water 70_bucket	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035427	PB2E	water 69_bucket	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035428	PB1E	water 68_bucket	2017-05-22	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035429	PB10E	water 67_bucket	2017-05-26	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035430	PAP5E	water 66_drum	2017-05-26	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035431	PAP4E	water 65_bucket	2017-05-26	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035432	PAP3E	water 64_bucket	2017-05-26	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035433	PAP2E	water 63_drum	2017-05-26	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035434	PAP1E	water 62_tire	2017-05-26	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035435	MOULE9E	water 61_bucket	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035436	ABY6E	water 7_drum	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035437	MOULE8E	water 60_tire	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035438	MOULE7E	water 59_tire	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035439	MOULE6E	water 58_freezer	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035440	MOULE5E	water 57_bucket	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035441	MOULE4E	water 56_tire	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035442	MOULE3E	water 55_drum	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035443	MOULE2E	water 54_drum	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035444	MOULE1E	water 53_drum	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035445	MOULE16062E	water 52_bucket	2017-06-16	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035446	MOULE16061E	water 51_bucket	2017-06-16	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035447	ABY5E	water 6_bucket	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035448	MOULE10E	water 50_tire	2017-05-29	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035449	MOULE07069E	water 49_bucket	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035450	MOULE07068E	water 48_plants container	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035451	MOULE07067E	water 47_drum	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035452	MOULE07066E	water 46_bucket	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035453	MOULE07065E	water 45_drum	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035454	MOULE07064E	water 44_drum	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035455	MOULE07063E	water 43_drum	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035456	MOULE07062E	water 42_drum	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035457	MOULE07061E	water 41_freezer	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035458	ABY4E	water 5_drum	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035459	MOULE070610E	water 40_drum	2017-06-07	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035460	LAM9E	water 39_bucket	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035461	LAM8E	water 38_bucket	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035462	LAM7E	water 37_drum	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035463	LAM6E	water 36_drum	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035464	LAM5E	water 35_drum	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035465	LAM4E	water 34_tire	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035466	LAM3E	water 33_tin can	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035467	LAM2E	water 32_bucket	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035468	L97	larvae97_tin can	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035469	L96	larvae96_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035470	L95	larvae95_freezer	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035471	L94	larvae94_freezer	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035472	L91	larvae91_tire	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035473	L90	larvae90_freezer	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035474	LAM1E	water 31_plants container	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035475	ABY3E	water 4_drum	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035476	L89	larvae89_bucket	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035477	L88	larvae88_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035478	L86	larvae86_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035479	L81	larvae81_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035480	L77	larvae77_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035481	L73	larvae73_boat	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035482	L71	larvae71_freezer	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035483	L6	larvae6_bucket	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035484	L68	larvae68_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035485	L62	larvae62_bucket	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035486	LAM10E	water 30_drum	2017-05-23	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035487	L59	larvae59_bucket	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
